m_date,m_close_dividend_and_split_adjusted,m_volume,c_log_returns_dividend_and_split_adjusted,c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_252d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_momentum_12_1,c_momentum_6_1,c_absolute_momentum,c_trend_score
2006-01-03,49.09080505371094,299500,,,,,,,,,
2006-01-04,49.178565979003906,112300,0.001786130260169177,,,,,,,,
2006-01-05,49.19024658203125,159700,0.00023748590184514935,,,,,,,,
2006-01-06,49.125892639160156,179100,-0.001309122847412454,,,,,,,,
2006-01-09,49.149288177490234,78600,0.0004761230369180556,,,,,,,,
2006-01-10,48.95037841796875,140500,-0.004055264182164838,,,,,,,,
2006-01-11,48.827491760253906,384300,-0.002513589674065037,,,,,,,,
2006-01-12,49.00301742553711,97800,0.0035883663509165644,,,,,,,,
2006-01-13,49.21953582763672,96200,0.004408738026725254,,,,,,,,
2006-01-17,49.27802658081055,166600,0.001187659036810442,,,,,,,,
2006-01-18,49.29559326171875,125900,0.00035641749024197087,,,,,,,,
2006-01-19,49.172698974609375,108600,-0.0024961202865862444,,,,,,,,
2006-01-20,49.254615783691406,98000,0.0016645141279422032,,,,,,,,
2006-01-23,49.242919921875,79100,-0.00023748537032115567,,,,,,,,
2006-01-24,49.160987854003906,66200,-0.0016652201859817819,,,,,,,,
2006-01-25,48.85672378540039,95500,-0.006208368687782038,,,,,,,,
2006-01-26,48.75141906738281,77100,-0.002157704383985575,,,,,,,,
2006-01-27,48.78654479980469,114600,0.0007202474307988591,,,,,,,,
2006-01-30,48.68124008178711,125400,-0.0021608115772560007,,,,,,,,
2006-01-31,48.75141906738281,255700,0.001440564146457085,,,,,,,,
2006-02-01,48.60117721557617,474200,-0.0030865529389079013,,,,,,,,
2006-02-02,48.60117721557617,94800,0.0,,,,,,,,
2006-02-03,48.74787521362305,283800,0.0030138579766016,,,,,,,,
2006-02-06,48.677467346191406,53300,-0.0014453709443375585,,,,,,,,
2006-02-07,48.61874008178711,228800,-0.0012071852148951908,,,,,,,,
2006-02-08,48.589447021484375,62000,-0.0006026871205466645,,,,,,,,
2006-02-09,48.63641357421875,96600,0.000966133004118069,,,,,,,,
2006-02-10,48.495506286621094,102900,-0.0029013610900466068,,,,,,,,
2006-02-13,48.495506286621094,66000,0.0,,,,,,,,
2006-02-14,48.42512512207031,77100,-0.0014523466448606547,,,,,,,,
2006-02-15,48.51312255859375,75200,0.0018155364430466861,,,,,,,,
2006-02-16,48.489620208740234,248200,-0.00048457084084246497,,,,,,,,
2006-02-17,48.65401077270508,199200,0.0033844878809892545,,,,,,,,
2006-02-21,48.59529113769531,164200,-0.0012076105636188992,,,,,,,,
2006-02-22,48.77724075317383,115700,0.003737190020905461,,,,,,,,
2006-02-23,48.659828186035156,73300,-0.0024100196207976388,,,,,,,,
2006-02-24,48.60117721557617,343300,-0.0012060532857151758,,,,,,,,
2006-02-27,48.50724792480469,287700,-0.001934524629124629,,,,,,,,
2006-02-28,48.7009391784668,95900,0.003985086354693694,,,,,,,,
2006-03-01,48.60493469238281,227000,-0.0019732522491428396,,,,,,,,
2006-03-02,48.41060256958008,113300,-0.004006211545121495,,,,,,,,
2006-03-03,48.292842864990234,76500,-0.0024354822575143923,,,,,,,,
2006-03-06,48.13974380493164,350700,-0.003175258363953876,,,,,,,,
2006-03-07,48.1633186340332,130300,0.0004895966748185408,,,,,,,,
2006-03-08,48.186866760253906,84500,0.00048880293469499,,,,,,,,
2006-03-09,48.23399353027344,507200,0.0009775223666372488,,,,,,,,
2006-03-10,48.13974380493164,408500,-0.0019559219761507035,,,,,,,,
2006-03-13,48.09852981567383,246900,-0.0008564989837577828,,,,,,,,
2006-03-14,48.37531661987305,122700,0.005738084960296416,,,,,,,,
2006-03-15,48.28696060180664,118400,-0.0018281390675621574,,,,,,,,
2006-03-16,48.59318542480469,174900,0.006321746103811125,,,,,,,,
2006-03-17,48.49309539794922,111300,-0.0020618785984387335,,,,,,,,
2006-03-20,48.58728790283203,240100,0.0019405060268107308,,,,,,,,
2006-03-21,48.38707733154297,96800,-0.004129150116506816,,,,,,,,
2006-03-22,48.44597625732422,131500,0.0012165047132552253,,,,,,,,
2006-03-23,48.322296142578125,109700,-0.0025562134990100276,,,,,,,,
2006-03-24,48.53428268432617,68800,0.004377335702048737,,,,,,,,
2006-03-27,48.428279876708984,79700,-0.002186469644521819,,,,,,,,
2006-03-28,48.19279861450195,125600,-0.004874334505885886,,,,,,,,
2006-03-29,48.14565658569336,58100,-0.0009786752854480042,,,,,,,,
2006-03-30,48.00432205200195,100800,-0.002939878666407573,,,,,,,,
2006-03-31,48.0396842956543,87400,0.0007363758884083364,,,,,,,,
