m_date,m_close_dividend_and_split_adjusted,m_volume,c_log_returns_dividend_and_split_adjusted,c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_252d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_momentum_12_1,c_momentum_6_1,c_absolute_momentum,c_trend_score
2006-01-03,106.428955078125,3136400,,,,,,,,,
2006-01-04,107.1841049194336,1578700,0.007070288558937436,,,,,,,,
2006-01-05,107.33979797363281,1287100,0.0014515219929860433,,,,,,,,
2006-01-06,108.56204986572266,2192800,0.011322413047562275,,,,,,,,
2006-01-09,109.05252838134766,2993100,0.00450778022430866,,,,,,,,
2006-01-10,109.68306732177734,3395300,0.005765323059921102,,,,,,,,
2006-01-11,109.76871490478516,2269900,0.0007805595059416267,,,,,,,,
2006-01-12,109.22378540039062,2414800,-0.00497670585386321,,,,,,,,
2006-01-13,108.8345718383789,1835500,-0.003569814798857328,,,,,,,,
2006-01-17,108.77230072021484,2081300,-0.0005723267756360193,,,,,,,,
2006-01-18,108.4686508178711,3039800,-0.002795514362677332,,,,,,,,
2006-01-19,109.6052474975586,2614100,0.010424053317851322,,,,,,,,
2006-01-20,107.79916381835938,3062100,-0.016615350337335723,,,,,,,,
2006-01-23,108.2662353515625,1868600,0.004323434131908833,,,,,,,,
2006-01-24,109.21598052978516,2779500,0.00873405866202761,,,,,,,,
2006-01-25,108.58545684814453,3167300,-0.005789910761419813,,,,,,,,
2006-01-26,109.94781494140625,2184000,0.012468359910677,,,,,,,,
2006-01-27,110.2669677734375,2803300,0.0028985615910772505,,,,,,,,
2006-01-30,110.35255432128906,3360200,0.0007758746944277939,,,,,,,,
2006-01-31,110.44602966308594,2752500,0.0008467024171487649,,,,,,,,
2006-02-01,111.3023681640625,2761000,0.007723553056642881,,,,,,,,
2006-02-02,110.08013916015625,4795800,-0.011041897003118709,,,,,,,,
2006-02-03,109.83881378173828,1759100,-0.0021946764665236192,,,,,,,,
2006-02-06,110.58614349365234,1132700,0.006780834481268313,,,,,,,,
2006-02-07,108.91236114501953,2714300,-0.015251263737668051,,,,,,,,
2006-02-08,109.30162048339844,2092700,0.0035676884529706977,,,,,,,,
2006-02-09,108.8345718383789,1594300,-0.004282181271621213,,,,,,,,
2006-02-10,108.84232330322266,2907500,7.121991373480758e-05,,,,,,,,
2006-02-13,108.18838500976562,1131100,-0.006026246493457201,,,,,,,,
2006-02-14,109.02911376953125,2175700,0.007740932131778615,,,,,,,,
2006-02-15,109.48851013183594,2396400,0.004204668080470083,,,,,,,,
2006-02-16,110.43047332763672,1347800,0.008566508825014878,,,,,,,,
2006-02-17,110.08013916015625,1118700,-0.0031774839159672366,,,,,,,,
2006-02-21,110.1579818725586,1109600,0.0007068959295406231,,,,,,,,
2006-02-22,110.79634857177734,2354200,0.005778284355081834,,,,,,,,
2006-02-23,110.75743103027344,1544300,-0.0003513146286565913,,,,,,,,
2006-02-24,111.3802719116211,1171900,0.00560771544206326,,,,,,,,
2006-02-27,111.22456359863281,2093100,-0.0013989663614106802,,,,,,,,
2006-02-28,110.13465118408203,2112600,-0.009847534229500758,,,,,,,,
2006-03-01,111.84735107421875,3049600,0.015431285950274995,,,,,,,,
2006-03-02,111.56708526611328,1655900,-0.0025089332606542726,,,,,,,,
2006-03-03,110.73410034179688,1485800,-0.007494236440105189,,,,,,,,
2006-03-06,109.88549041748047,1934100,-0.0076930077389814906,,,,,,,,
2006-03-07,108.54647827148438,2451100,-0.012260374953282117,,,,,,,,
2006-03-08,108.93572998046875,4481000,0.0035796226988784674,,,,,,,,
2006-03-09,108.07164764404297,1918200,-0.00796366383991829,,,,,,,,
2006-03-10,109.08367919921875,2832000,0.009320875493845469,,,,,,,,
2006-03-13,109.74536895751953,3157800,0.006047568003813704,,,,,,,,
2006-03-14,110.78075408935547,2464400,0.009390204892960646,,,,,,,,
2006-03-15,111.62155151367188,4932200,0.007561085553793236,,,,,,,,
2006-03-16,111.19342803955078,3079000,-0.0038428655186737337,,,,,,,,
2006-03-17,111.64614868164062,2331200,0.004063203418394425,,,,,,,,
2006-03-20,111.263671875,2240100,-0.0034316763706104597,,,,,,,,
2006-03-21,110.35816192626953,3961700,-0.008171712796718649,,,,,,,,
2006-03-22,111.263671875,2627800,0.008171712796718638,,,,,,,,
2006-03-23,111.40412139892578,2264500,0.001261516454507835,,,,,,,,
2006-03-24,112.0442123413086,1150400,0.005729223239480587,,,,,,,,
2006-03-27,111.90375518798828,1761800,-0.001254373266136701,,,,,,,,
2006-03-28,111.54466247558594,2040300,-0.003214102165408654,,,,,,,,
2006-03-29,112.69989776611328,1974500,0.010303442895878492,,,,,,,,
2006-03-30,112.83258056640625,2619600,0.0011766182554412406,,,,,,,,
2006-03-31,112.99652862548828,4282000,0.001451965944263993,,,,,,,,
2006-04-03,112.52816772460938,2383300,-0.004153528033049641,,,,110.02648308163597,,,,
