m_date,m_close_dividend_and_split_adjusted,m_volume,c_log_returns_dividend_and_split_adjusted,c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_252d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_momentum_12_1,c_momentum_6_1,c_absolute_momentum,c_trend_score
2006-01-03,55.790836334228516,257000,,,,,,,,,
2006-01-04,55.796268463134766,162400,9.736123041110097e-05,,,,,,,,
2006-01-05,55.63382339477539,169200,-0.0029156429960579197,,,,,,,,
2006-01-06,55.60672378540039,315500,-0.000487225397537897,,,,,,,,
2006-01-09,55.67173767089844,288300,0.001168490147051651,,,,,,,,
2006-01-10,55.54718780517578,209700,-0.0022397252491910243,,,,,,,,
2006-01-11,55.46051025390625,687800,-0.0015616496945788903,,,,,,,,
2006-01-12,55.67717742919922,667800,0.0038990814782289916,,,,,,,,
2006-01-13,55.82876968383789,141800,0.0027190002319422597,,,,,,,,
2006-01-17,55.958648681640625,591500,0.0023236793217297335,,,,,,,,
2006-01-18,55.931617736816406,133700,-0.00048316884417804216,,,,,,,,
2006-01-19,55.888282775878906,437700,-0.0007750849877041293,,,,,,,,
2006-01-20,55.99119567871094,227900,0.0018397106114474639,,,,,,,,
2006-01-23,55.904541015625,179100,-0.0015488468635017024,,,,,,,,
2006-01-24,55.769195556640625,122000,-0.0024239454934945805,,,,,,,,
2006-01-25,55.417236328125,162100,-0.006330995574488442,,,,,,,,
2006-01-26,55.36308670043945,157900,-0.0009776037931248044,,,,,,,,
2006-01-27,55.50930404663086,129600,0.0026375805549716863,,,,,,,,
2006-01-30,55.49845886230469,159200,-0.00019539506204755143,,,,,,,,
2006-01-31,55.68798828125,158800,0.003409221310440654,,,,,,,,
2006-02-01,55.52012252807617,257300,-0.0030189503166098757,,,,,,,,
2006-02-02,55.525550842285156,370800,9.776723484226745e-05,,,,,,,,
2006-02-03,55.796268463134766,160000,0.004863703381859984,,,,,,,,
2006-02-06,55.834136962890625,151700,0.0006784621280187805,,,,,,,,
2006-02-07,55.57426071166992,118300,-0.004665298630906829,,,,,,,,
2006-02-08,55.47136688232422,112500,-0.001853181633933557,,,,,,,,
2006-02-09,55.59593963623047,157100,0.002243194870709155,,,,,,,,
2006-02-10,55.36850357055664,172100,-0.004099265991644834,,,,,,,,
2006-02-13,55.34143829345703,152400,-0.0004889403279074419,,,,,,,,
2006-02-14,55.09235763549805,187100,-0.004510957506018514,,,,,,,,
2006-02-15,55.146484375,159500,0.000981990428498019,,,,,,,,
2006-02-16,55.314388275146484,120700,0.003040063425753207,,,,,,,,
2006-02-17,55.617557525634766,122700,0.005465873749606263,,,,,,,,
2006-02-21,55.49845886230469,140400,-0.0021436821227073773,,,,,,,,
2006-02-22,55.65547180175781,124600,0.0028251460465258107,,,,,,,,
2006-02-23,55.525550842285156,112500,-0.0023371078178527913,,,,,,,,
2006-02-24,55.579673767089844,135400,0.0009742643386222525,,,,,,,,
2006-02-27,55.482200622558594,146200,-0.0017552948767277947,,,,,,,,
2006-02-28,55.68798828125,162200,0.003702213619873059,,,,,,,,
2006-03-01,55.57426071166992,136100,-0.0020443162027958964,,,,,,,,
2006-03-02,55.536376953125,161400,-0.0006819105858650926,,,,,,,,
2006-03-03,55.49302673339844,158700,-0.0007808782266680286,,,,,,,,
2006-03-06,55.10860061645508,133700,-0.006951573394521733,,,,,,,,
2006-03-07,55.10860061645508,151000,0.0,,,,,,,,
2006-03-08,54.89743423461914,130800,-0.003839182850151428,,,,,,,,
2006-03-09,54.805423736572266,172800,-0.0016774498189692602,,,,,,,,
2006-03-10,54.74042892456055,154500,-0.0011866230999950983,,,,,,,,
2006-03-13,54.76747512817383,216900,0.0004939589410858535,,,,,,,,
2006-03-14,55.03280258178711,184600,0.0048329198356718865,,,,,,,,
2006-03-15,54.929935455322266,156400,-0.0018709457095691983,,,,,,,,
2006-03-16,55.22776412963867,153400,0.005407327878621216,,,,,,,,
2006-03-17,55.16815948486328,153000,-0.001079834265897763,,,,,,,,
2006-03-20,55.135677337646484,480400,-0.0005889577206274438,,,,,,,,
2006-03-21,54.864952087402344,124100,-0.004922259050107944,,,,,,,,
2006-03-22,54.946136474609375,216300,0.001478619382821287,,,,,,,,
2006-03-23,54.88661193847656,92100,-0.0010839124545389037,,,,,,,,
