m_date,m_close_dividend_and_split_adjusted,m_volume,c_log_returns_dividend_and_split_adjusted,c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_252d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_momentum_12_1,c_momentum_6_1,c_absolute_momentum,c_trend_score
2006-01-03,26.05204963684082,70300,,,,,,,,,
2006-01-04,26.244998931884766,75000,0.007379008025401219,,,,,,,,
2006-01-05,26.446533203125,31200,0.007649625882360271,,,,,,,,
2006-01-06,26.695215225219727,36000,0.009359264410343973,,,,,,,,
2006-01-09,26.922460556030273,49200,0.00847655882758772,,,,,,,,
2006-01-10,27.08539390563965,54900,0.0060337091906712105,,,,,,,,
2006-01-11,27.12828254699707,41900,0.0015822077789581026,,,,,,,,
2006-01-12,27.05109405517578,136400,-0.0028493699590500005,,,,,,,,
2006-01-13,26.716655731201172,43000,-0.012440269062404008,,,,,,,,
2006-01-17,26.60944938659668,59500,-0.004020788272424664,,,,,,,,
2006-01-18,26.605178833007812,32700,-0.00016050299479352566,,,,,,,,
2006-01-19,26.93961524963379,59000,0.012491999321790214,,,,,,,,
2006-01-20,26.67806053161621,49000,-0.009756364441872103,,,,,,,,
2006-01-23,26.798118591308594,42800,0.004490158548131386,,,,,,,,
2006-01-24,26.999629974365234,79800,0.007491478021575459,,,,,,,,
2006-01-25,27.01679801940918,1518500,0.0006356601596835946,,,,,,,,
2006-01-26,27.106834411621094,1408300,0.003327066984297946,,,,,,,,
2006-01-27,27.4112606048584,1885100,0.011168011547553447,,,,,,,,
2006-01-30,27.389827728271484,1318700,-0.0007822062784384903,,,,,,,,
2006-01-31,27.462709426879883,423900,0.002657369933164248,,,,,,,,
2006-02-01,27.591344833374023,49700,0.004673066945303888,,,,,,,,
2006-02-02,27.39840316772461,66700,-0.007017397403277544,,,,,,,,
2006-02-03,27.158275604248047,81000,-0.008802922741354784,,,,,,,,
2006-02-06,27.26119613647461,99800,0.003782493715709435,,,,,,,,
2006-02-07,27.046817779541016,68500,-0.007894947908958573,,,,,,,,
2006-02-08,26.926740646362305,57900,-0.0044494872966406454,,,,,,,,
2006-02-09,27.055376052856445,43700,0.004765861653411704,,,,,,,,
2006-02-10,27.08110809326172,375200,0.0009506358881257891,,,,,,,,
2006-02-13,27.119688034057617,45700,0.0014235933812057457,,,,,,,,
2006-02-14,27.269763946533203,49100,0.00551858082356786,,,,,,,,
2006-02-15,27.509876251220703,598900,0.008766535945873776,,,,,,,,
