m_date,m_close_dividend_and_split_adjusted,m_volume,c_log_returns_dividend_and_split_adjusted,c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_252d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_momentum_12_1,c_momentum_6_1,c_absolute_momentum,c_trend_score
2006-01-03,22.69672203063965,1230000,,,,,,,,,
2006-01-04,22.922910690307617,2160600,0.009916367128944182,,,,,,,,
2006-01-05,22.866363525390625,1261100,-0.002469888183728833,,,,,,,,
2006-01-06,23.014812469482422,774900,0.006471039980537916,,,,,,,,
2006-01-09,23.120820999145508,622700,0.004595524468084514,,,,,,,,
2006-01-10,23.0360050201416,823300,-0.0036751259470362836,,,,,,,,
2006-01-11,22.979454040527344,1015600,-0.0024579134594743934,,,,,,,,
2006-01-12,22.958251953125,547900,-0.0009230800036361503,,,,,,,,
2006-01-13,22.94411277770996,878500,-0.0006160543555926781,,,,,,,,
2006-01-17,22.880502700805664,1063700,-0.002776242292330787,,,,,,,,
2006-01-18,22.91584014892578,1213900,0.001543243540182952,,,,,,,,
2006-01-19,23.0360050201416,2798500,0.0052300465708510725,,,,,,,,
2006-01-20,22.597763061523438,3070600,-0.019207505769497445,,,,,,,,
2006-01-23,22.58362579345703,1085000,-0.0006258005292029025,,,,,,,,
2006-01-24,22.477598190307617,1173700,-0.004705944022323128,,,,,,,,
2006-01-25,22.4493350982666,1425200,-0.0012581805033472049,,,,,,,,
2006-01-26,22.562421798706055,1221300,0.005024773355809644,,,,,,,,
2006-01-27,22.82394790649414,1228700,0.011524561406466445,,,,,,,,
2006-01-30,22.717920303344727,977700,-0.0046562777892861715,,,,,,,,
2006-01-31,22.710866928100586,2370400,-0.0003105244815312274,,,,,,,,
2006-02-01,22.852224349975586,1472700,0.006204929096983476,,,,,,,,
2006-02-02,22.668445587158203,900500,-0.008074563119544475,,,,,,,,
2006-02-03,22.62603187561035,823400,-0.0018727989070831163,,,,,,,,
2006-02-06,22.421039581298828,924800,-0.009101311259757463,,,,,,,,
2006-02-07,22.38570785522461,1328600,-0.0015770720000255387,,,,,,,,
2006-02-08,22.675521850585938,1537800,0.012863297047192666,,,,,,,,
2006-02-09,22.69672203063965,1491900,0.0009345000283448016,,,,,,,,
2006-02-10,22.64724349975586,812200,-0.0021823653905309434,,,,,,,,
2006-02-13,22.618972778320312,644600,-0.0012490871751942127,,,,,,,,
2006-02-14,22.838085174560547,900300,0.009640487225190529,,,,,,,,
2006-02-15,22.972396850585938,974500,0.005863813474069801,,,,,,,,
2006-02-16,23.120820999145508,1161200,0.006440195260302681,,,,,,,,
2006-02-17,23.106685638427734,756200,-0.0006115562870024143,,,,,,,,
2006-02-21,22.986526489257812,692800,-0.0052137577667685855,,,,,,,,
2006-02-22,23.184436798095703,641800,0.00857298643482606,,,,,,,,
2006-02-23,23.09962272644043,790800,-0.0036649406927681256,,,,,,,,
2006-02-24,23.09962272644043,665900,0.0,,,,,,,,
2006-02-27,23.276323318481445,1548200,0.007620392129927956,,,,,,,,
2006-02-28,22.972396850585938,912700,-0.013143319078517669,,,,,,,,
2006-03-01,22.993595123291016,1319700,0.0009223459909207386,,,,,,,,
2006-03-02,22.951183319091797,757400,-0.001846208325895959,,,,,,,,
2006-03-03,22.873430252075195,795500,-0.0033935099752571357,,,,,,,,
2006-03-06,22.75326919555664,954100,-0.005267149970265862,,,,,,,,
2006-03-07,22.760347366333008,1244300,0.00031103530627165537,,,,,,,,
2006-03-08,22.91584014892578,490900,0.006808509716641814,,,,,,,,
2006-03-09,22.838085174560547,381500,-0.0033988362164850496,,,,,,,,
2006-03-10,22.922910690307617,626700,0.0037073324694788918,,,,,,,,
2006-03-13,22.90877342224121,761900,-0.0006169211884104619,,,,,,,,
2006-03-14,23.071340560913086,868500,0.007071222838797162,,,,,,,,
2006-03-15,23.149097442626953,729000,0.0033646135098329712,,,,,,,,
2006-03-16,23.149097442626953,815000,0.0,,,,,,,,
2006-03-17,23.20370101928711,395200,0.0023560002299549705,,,,,,,,
2006-03-20,23.246253967285156,745800,0.0018322067228898908,,,,,,,,
2006-03-21,23.104427337646484,1330400,-0.006119740563772573,,,,,,,,
2006-03-22,23.338449478149414,559600,0.010077933894053146,,,,,,,,
2006-03-23,23.210798263549805,1707700,-0.005484579913874914,,,,,,,,
2006-03-24,23.175334930419922,465500,-0.0015290492048992692,,,,,,,,
2006-03-27,22.998046875,778800,-0.007679269731930032,,,,,,,,
2006-03-28,22.785308837890625,1013700,-0.009293314782212729,,,,,,,,
2006-03-29,22.84912872314453,503300,0.002797007272199437,,,,,,,,
2006-03-30,22.80657386779785,690200,-0.001864164398104492,,,,,,,,
2006-03-31,22.678930282592773,895800,-0.005612509860289446,,,,,,,,
2006-04-03,22.664751052856445,2382100,-0.0006254115140587507,,,,22.887187019227042,,,,
2006-04-04,22.693115234375,2518900,0.0012506842820265054,,0.09510256437835801,,22.887129768492684,,,,
2006-04-05,22.622196197509766,1908800,-0.0031300279099594026,,0.09313102542264125,,22.882356522575257,,,,
2006-04-06,22.45199966430664,2216300,-0.007551874806360783,,0.09418104959895422,,22.875779318431068,,,,
2006-04-07,22.182514190673828,1833100,-0.012075352677371426,,0.0960550907643126,,22.862568234640456,,,,
2006-04-10,22.139968872070312,1887700,-0.001919808130361115,,0.09550925965319722,,22.84699915325831,,,,
2006-04-11,21.898855209350586,2293300,-0.010950159410108228,,0.09752114637339128,,22.828949156261626,,,,
2006-04-12,22.04777717590332,4217500,0.006777426551785706,,0.09862727918770296,,22.814160634600928,,,,
2006-04-13,21.99813461303711,1763700,-0.0022541290153773367,,0.09867779071025173,,22.798920676821755,,,,
2006-04-17,21.870479583740234,1521400,-0.005819896158244393,,0.0992119042408897,,22.781878880092076,,,,
2006-04-18,22.076143264770508,7651600,0.009359771883871501,,0.10115973079597132,,22.76911126999628,,,,
2006-04-19,21.948495864868164,1405900,-0.005798923517880762,,0.1016017146801892,,22.75375659882076,,,,
2006-04-20,22.14705467224121,3495900,0.009005904087085593,,0.10276906816906865,,22.739646275838215,,,,
2006-04-21,22.097415924072266,1167900,-0.0022438405670483397,,0.09565565955891814,,22.731704257783434,,,,
2006-04-24,22.012317657470703,1619700,-0.0038584849768879105,,0.09591095832835407,,22.72263587467254,,,,
2006-04-25,21.877574920654297,2743900,-0.006140054223010195,,0.09621464929817275,,22.713111695789156,,,,
2006-04-26,21.877574920654297,2192300,0.0,,0.09620350828003818,,22.704036137414356,,,,
2006-04-27,21.757022857666016,4469800,-0.005525540550238271,,0.0960951967917398,,22.69125202723912,,,,
2006-04-28,21.97685432434082,2495700,0.010053227946818545,,0.09538451419786713,,22.677806097363668,,,,
2006-05-01,21.78538703918457,1018600,-0.008750397644233814,,0.09643775146727265,,22.66300398205954,,,,
2006-05-02,21.78538703918457,791300,0.0,,0.09644439426917749,,22.648313825092618,,,,
2006-05-03,21.544273376464844,2203100,-0.011129381082576661,,0.09765262589282012,,22.627552698528955,,,,
2006-05-04,21.615190505981445,1475800,0.0032862870369885213,,0.09691750066627781,,22.610834363907102,,,,
2006-05-05,21.827938079833984,1190000,0.009794380907319348,,0.09915391025852305,,22.59816620841859,,,,
2006-05-08,21.820850372314453,3090900,-0.00032476079328508514,,0.09762655623948276,,22.588639395577566,,,,
2006-05-09,21.66483497619629,3177400,-0.007175513701910753,,0.09853165056993404,,22.577196968926323,,,,
2006-05-10,21.643550872802734,2280700,-0.0009829091844397813,,0.09470497126567504,,22.56081647721548,,,,
2006-05-11,21.600996017456055,1620600,-0.0019681033629871552,,0.09467437421469914,,22.54342400081574,,,,
2006-05-12,21.55136489868164,1406100,-0.0023002746364280168,,0.0946817390234239,,22.52602910238599,,,,
2006-05-15,21.85629653930664,2248900,0.01404990025375671,,0.09921408858938231,,22.513923130338153,,,,
2006-05-16,21.91303062438965,1808200,0.0025924143930658237,,0.09725533969972605,,22.499239724779887,,,,
2006-05-17,21.686098098754883,3359700,-0.010410050918496052,,0.09826190742126108,,22.47882228427463,,,,
2006-05-18,21.593915939331055,1288500,-0.004259809099749909,,0.0973325986823551,,22.454585696023607,,,,
2006-05-19,21.473360061645508,1091100,-0.005598505583088899,,0.09774426693667378,,22.428659893217542,,,,
2006-05-22,21.38116455078125,873300,-0.004302726675241891,,0.09760772107346845,,22.403177957686168,,,,
2006-05-23,21.281885147094727,2276200,-0.004654124990881759,,0.09582135170889759,,22.372978725130597,,,,
2006-05-24,21.345705032348633,1705700,0.0029943017031222935,,0.09609522566299968,,22.345138761732315,,,,
2006-05-25,21.544273376464844,531000,0.009259494652256381,,0.09834425010239346,,22.320450676812065,,,,
2006-05-26,21.66483497619629,1935800,0.005580393449112153,,0.09769093527777424,,22.294871496775794,,,,
2006-05-30,21.38116455078125,1443900,-0.013180064813608961,,0.09770931411484957,,22.26961384122334,,,,
2006-05-31,21.515913009643555,1171000,0.006282428068439969,,0.09875154429706001,,22.24615856957814,,,,
2006-06-01,21.820850372314453,876200,0.01407315044707968,,0.10326226561870638,,22.22821677677215,,,,
2006-06-02,21.905935287475586,969700,0.0038916660011465024,,0.10354659154105417,,22.212859713841997,,,,
2006-06-05,21.5655574798584,878200,-0.015660136889945244,,0.10742900423266322,,22.194007146926154,,,,
2006-06-06,21.600996017456055,3027300,0.0016419446394609382,,0.10752045392493889,,22.175604744563028,,,,
2006-06-07,21.700288772583008,1461000,0.004586142403915315,,0.10696920784358975,,22.15631027827187,,,,
2006-06-08,21.735746383666992,2199300,0.001632636074285323,,0.10695813627882257,,22.138812837146578,,,,
2006-06-09,21.579734802246094,791500,-0.007203533322526496,,0.10732083413839105,,22.117492584955123,,,,
2006-06-12,21.359888076782227,763800,-0.010239896474686629,,0.10891029325865637,,22.092907103281174,,,,
2006-06-13,21.30315589904785,1069400,-0.002659548212562209,,0.10767060946911326,,22.064840680076962,,,,
2006-06-14,21.338611602783203,1023000,0.0016629569543369744,,0.10742668698459486,,22.036102809603253,,,,
2006-06-15,21.600996017456055,975500,0.012221242577237793,,0.11075355495453526,,22.011529771108474,,,,
2006-06-16,21.5732479095459,803100,-0.0012854011654566326,,0.11053111392089617,,21.985649563017347,,,,
2006-06-19,21.409542083740234,957800,-0.007617309969626136,,0.11110681319712387,,21.95649540613568,,,,
2006-06-20,21.33125114440918,474100,-0.0036635270888783537,,0.11078244870309392,,21.92834975227477,,,,
2006-06-21,21.43800926208496,465900,0.00499229298746983,,0.10911998636029183,,21.898184034559463,,,,
2006-06-22,21.3170166015625,372300,-0.005659825064507198,,0.10914754619925887,,21.86812400817871,,,,
2006-06-23,21.3383731842041,1943300,0.0010013545548830025,,0.1092480473461889,,21.838965885222905,,,,
2006-06-26,21.26007843017578,754100,-0.003675947797390281,,0.10859094268204762,,21.811379084511408,,,,
2006-06-27,21.039426803588867,673500,-0.010432917679780596,,0.10895744619600153,,21.783666671268524,,,,
2006-06-28,21.039426803588867,481600,0.0,,0.10867682426692855,,21.754941243973988,,,,
2006-06-29,21.40242576599121,632400,0.017106124831795667,,0.11473728591778443,,21.73265317886595,,,,
2006-06-30,21.523422241210938,1312400,0.0056374795740838125,,0.11510805027399885,,21.714311781383696,,,,
2006-07-03,21.566120147705078,313800,0.0019818228786864854,,0.115244919914048,,21.696873195587642,,,,
2006-07-05,21.544776916503906,1093000,-0.0009901548981056181,,0.11517086482079208,,21.678645603240483,,-0.04979021021209262,,
2006-07-06,21.623069763183594,937700,0.0036273726186820273,,0.1154136878227372,,21.66278645348927,,-0.05772676673715493,,
2006-07-07,21.644432067871094,699600,0.0009874527309994452,,0.11461913742799265,,21.649967920212518,,-0.05086393673523626,,
2006-07-10,21.72271156311035,1642100,0.0036100869783638806,,0.11249942556735944,,21.642669465806748,,-0.05554244849263179,,
2006-07-11,21.77254295349121,1552700,0.0022913493776311267,,0.11257316548875197,,21.636837308368985,,-0.06724913955253942,,
2006-07-12,21.694246292114258,677400,-0.0036026008554322685,,0.11068194456319388,,21.633589547777934,,-0.07389971191544398,,
2006-07-13,21.466480255126953,788700,-0.010554416922561285,,0.11169687306062866,,21.624362612527513,,-0.07350695844393429,,
2006-07-14,21.33125114440918,1319700,-0.0063194733148179685,,0.11226208914682231,,21.61377716064453,,-0.07052286389890494,,
2006-07-17,21.416656494140625,432600,0.0039957728030478945,,0.11208378686497167,,21.606573619539777,,-0.05803906320899277,,
2006-07-18,21.416656494140625,689000,0.0,,0.11034367113656107,,21.596105575561523,,-0.056719294082423266,,
2006-07-19,21.9220027923584,1708900,0.023321866045168595,,0.11962033327919791,,21.595685050601052,,-0.06730510162324133,,
2006-07-20,21.943359375,1092700,0.0009737334094072304,,0.11822777155184906,,21.592451791914684,,-0.07612745457948189,,
2006-07-21,22.04300880432129,644200,0.004530931009945359,,0.11851539891649558,,21.59158818683927,,-0.05276996099096487,,
2006-07-24,22.470048904418945,1857600,0.019187772036641897,,0.12431768685858363,,21.598853762187655,,-0.05911892938589569,,
2006-07-25,22.6622314453125,2366200,0.008516463204985518,,0.12467426664738417,,21.61130862765842,,-0.0538270984909297,,
2006-07-26,22.76898765563965,1877800,0.004699693687929955,,0.12494259780649863,,21.625458036150253,,-0.05673498858468684,,
2006-07-27,22.655113220214844,1919500,-0.00501384383104771,,0.12484421962036153,,21.639713438730393,,-0.07268505030348682,,
2006-07-28,22.776113510131836,1817000,0.005326758035558842,,0.12374911869408865,,21.652400092473105,,-0.08464019114369625,,
2006-07-31,22.69780731201172,462400,-0.003444008086603008,,0.12257471563057219,,21.66688295394655,,-0.06141032316293982,,
2006-08-01,22.69780731201172,3115000,0.0,,0.12257471563057219,,21.681365815419998,,-0.055138158213492106,,
2006-08-02,22.840160369873047,633700,0.006252080573858602,,0.1206999729754092,,21.701935450236004,,-0.05960391775101437,,
2006-08-03,22.640872955322266,2033400,-0.008763595522279946,,0.1221400646053635,,21.718216124035063,,-0.05209160007351743,,
2006-08-04,22.64798355102539,899700,0.00031401083224767647,,0.12074601668175432,,21.73123271881588,,-0.04642889251152016,,
2006-08-07,22.576805114746094,630800,-0.0031477646287079667,,0.12096431104709894,,21.74323200044178,,-0.036129515017557345,,
2006-08-08,22.569700241088867,1020700,-0.0003147474498803696,,0.11995960665408949,,21.75759494115436,,-0.030771737803453547,,
2006-08-09,22.591054916381836,739700,0.000945718326016223,,0.11991494107824412,,21.772634687877837,,-0.04131879671207861,,
2006-08-10,22.569700241088867,680000,-0.0009457183260161159,,0.11984058132188029,,21.78801094539582,,-0.04595068148368475,,
2006-08-11,22.462942123413086,456200,-0.00474137479256827,,0.12018762336413848,,21.80248042515346,,-0.05455735071748713,,
2006-08-14,22.51276397705078,408700,0.0022155015823609537,,0.1171191972466023,,21.81290054321289,,-0.06008438266318039,,
2006-08-15,22.704936981201172,651400,0.008499952766514924,,0.1181458372560739,,21.825470485384503,,-0.06598329750315035,,
2006-08-16,22.90422821044922,1290600,0.00873914252869934,,0.11711965210994116,,21.844805883982826,,-0.07242604975487266,,
2006-08-17,22.961172103881836,998300,0.0024830884414280604,,0.11669548950789622,,21.86650836278522,,-0.054308011805494605,,
2006-08-18,22.996753692626953,484900,0.0015484421995928825,,0.11593220522887789,,21.890689214070637,,-0.052762734449467885,,
2006-08-21,22.918472290039062,468900,-0.003409826555794143,,0.11577710322700853,,21.915090924217587,,-0.04267676445494839,,
2006-08-22,22.9896297454834,376200,0.0030999980079532505,,0.11524759287257116,,21.942197981334868,,-0.031525754923157234,,
2006-08-23,22.97540283203125,422000,-0.0006190320384292295,,0.11524872424569083,,21.96806620037745,,-0.019196661144401772,,
2006-08-24,23.131990432739258,701200,0.006792325119370927,,0.11464873419624734,,21.993268058413552,,-0.014541637469352331,,
2006-08-25,23.14621925354004,394300,0.0006149253113119386,,0.11429463920441991,,22.016782094561865,,-0.02726703725738544,,
2006-08-28,23.29568862915039,335000,0.006436854061597116,,0.11105566958319632,,22.04717136564709,,-0.008739227892895274,,
2006-08-29,23.40245819091797,845800,0.004572761665519429,,0.11080008663526898,,22.07711652725462,,-0.013263280884374007,,
2006-08-30,23.416685104370117,685700,0.000607739180544605,,0.10773811844537154,,22.102447237287247,,-0.011389428092033693,,
2006-08-31,23.345504760742188,375900,-0.003044356939178553,,0.10790588958036275,,22.12529754638672,,-0.0014867025400999712,,
2006-09-01,23.466501235961914,2468600,0.005169474885649519,,0.10274464776843031,,22.15547125680106,,-0.005119919750661728,,
2006-09-05,23.359745025634766,805700,-0.004559681965197168,,0.10341724469298838,,22.183387907724534,,-0.005091973659988591,,
2006-09-06,23.274333953857422,1378000,-0.003663036523892078,,0.10364893638468395,,22.208372751871746,,-0.015251886742031262,,
