date,SHY,SPY,QQQ,IWM,EFA,EEM,TLT,GLD,VNQ,DBC
2007-01-01,0.0,0.25,0.185419,0.0,0.25,0.149634,0.0,0.0,0.164947,0.0
2007-02-01,0.0,0.25,0.197025,0.0,0.25,0.135778,0.0,0.0,0.167197,0.0
2007-03-01,0.0,0.25,0.182628,0.176931,0.21923,0.0,0.0,0.0,0.17121,0.0
2007-04-01,0.0,0.0,0.0,0.223455,0.238155,0.137013,0.0,0.207079,0.194297,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.220511,0.13237,0.25,0.198888,0.0,0.198231
2007-06-01,0.0,0.25,0.225792,0.188652,0.201272,0.134284,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.246676,0.222551,0.183691,0.210905,0.136178,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.224418,0.228456,0.0,0.199119,0.120933,0.0,0.0,0.0,0.227074
2007-09-01,0.0,0.212237,0.219365,0.0,0.200758,0.11764,0.0,0.0,0.0,0.25
2007-10-01,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.200442,0.0,0.201318,0.114402,0.0,0.25,0.0,0.233838
2007-12-01,0.0,0.0,0.196647,0.0,0.0,0.110742,0.25,0.215055,0.0,0.227556
2008-01-01,0.0,0.0,0.197447,0.0,0.0,0.108792,0.25,0.208265,0.0,0.235496
2008-02-01,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
2008-03-01,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
2008-04-01,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
2008-05-01,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
2008-06-01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
2008-07-01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
2008-08-01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
2008-09-01,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2008-10-01,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2008-11-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2009-02-01,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2009-03-01,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2009-04-01,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2009-05-01,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
2009-06-01,2.1e-05,0.0,0.25,0.0,0.25,0.249979,0.0,0.25,0.0,0.0
2009-07-01,0.0,0.0,0.246259,0.164098,0.188895,0.150748,0.0,0.25,0.0,0.0
2009-08-01,0.0,0.236608,0.245514,0.180227,0.187618,0.150032,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.240557,0.234396,0.186121,0.190307,0.148619,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.25,0.212447,0.236866,0.182548,0.0,0.0,0.118139,0.0
2009-11-01,0.0,0.238417,0.236569,0.180136,0.19398,0.150898,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.25,0.25,0.0,0.210958,0.163607,0.0,0.0,0.125435,0.0
2010-01-01,0.0,0.249624,0.249313,0.0,0.181774,0.0,0.0,0.190626,0.128663,0.0
2010-02-01,0.0,0.25,0.225538,0.186763,0.0,0.0,0.0,0.1904,0.147298,0.0
2010-03-01,0.0,0.25,0.225415,0.197956,0.0,0.0,0.0,0.167738,0.15889,0.0
2010-04-01,0.0,0.240619,0.215351,0.193325,0.0,0.0,0.0,0.183888,0.166818,0.0
2010-05-01,0.0,0.24265,0.247546,0.185818,0.0,0.0,0.0,0.189895,0.134091,0.0
2010-06-01,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2010-07-01,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
2010-08-01,1.4e-05,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.249986,0.0
2010-09-01,2.3e-05,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.249977,0.0
2010-10-01,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
2010-11-01,6e-06,0.0,0.0,0.0,0.249994,0.25,0.25,0.25,0.0,0.0
2010-12-01,0.0,0.0,0.240582,0.0,0.183154,0.173423,0.0,0.220199,0.0,0.182642
2011-01-01,0.0,0.25,0.239407,0.200199,0.0,0.157379,0.0,0.0,0.0,0.153015
2011-02-01,0.0,0.25,0.230106,0.183685,0.0,0.0,0.0,0.176942,0.0,0.159268
2011-03-01,0.0,0.25,0.212657,0.171972,0.184486,0.0,0.0,0.0,0.0,0.180885
2011-04-01,0.0,0.240242,0.194367,0.165074,0.0,0.0,0.0,0.223488,0.0,0.176828
2011-05-01,0.0,0.227378,0.191565,0.166133,0.0,0.0,0.0,0.247859,0.0,0.167065
2011-06-01,0.0,0.25,0.0,0.177493,0.0,0.0,0.0,0.224424,0.221558,0.126525
2011-07-01,0.0,0.235015,0.0,0.0,0.0,0.0,0.242733,0.216536,0.183783,0.121934
2011-08-01,0.0,0.215467,0.0,0.153074,0.0,0.0,0.225089,0.230548,0.175821,0.0
2011-09-01,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2011-10-01,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2011-11-01,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2011-12-01,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2012-01-01,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2012-02-01,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2012-03-01,0.0,0.228824,0.223908,0.153735,0.0,0.0,0.204651,0.0,0.188882,0.0
2012-04-01,0.0,0.25,0.249258,0.166774,0.0,0.127801,0.0,0.0,0.206167,0.0
2012-05-01,0.0,0.247446,0.206857,0.159084,0.0,0.0,0.183138,0.0,0.203475,0.0
2012-06-01,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2012-07-01,0.0,0.220419,0.181191,0.170186,0.0,0.0,0.238498,0.0,0.189706,0.0
2012-08-01,0.0,0.212476,0.178315,0.170425,0.0,0.0,0.242291,0.0,0.196493,0.0
2012-09-01,9e-06,0.25,0.249991,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2012-10-01,3e-06,0.25,0.25,0.0,0.0,0.0,0.249997,0.0,0.25,0.0
2012-11-01,0.0,0.236088,0.189245,0.194121,0.0,0.0,0.170167,0.210379,0.0,0.0
2012-12-01,0.0,0.208618,0.0,0.0,0.166004,0.0,0.0,0.201534,0.245115,0.178729
2013-01-01,0.0,0.196776,0.0,0.0,0.178823,0.185015,0.0,0.0,0.243813,0.195573
2013-02-01,0.0,0.191401,0.0,0.164659,0.203652,0.192489,0.0,0.0,0.247799,0.0
2013-03-01,0.0,0.196789,0.0,0.169421,0.183005,0.204452,0.0,0.0,0.246332,0.0
